	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
11	2.60453	2.6599	2.6304	2.47178	2.28004	2.14307	2.04227	1.96961	1.97769	2.06781	2.20174	2.35408	2.4997	2.63123	2.78308	2.93311	2.99418	2.97826	2.91688	2.81321	2.70241	2.61443	2.56187	2.53546	2.51748	2.48378	2.42719	2.30638	2.11899	1.93782	1.79519	1.66686	1.64182	1.74602	1.75187	1.57263	1.36759	1.23031	1.17693	1.20678	1.30209	1.33543	1.1841	0.936875	0.724705	0.590357	0.537113	0.561119	0.586928	0.473837	0.252587	0.0841952	0.00558863	-0.0502079	-0.100402	-0.133952	-0.159086	-0.179745	-0.197335	-0.208605	-0.219031	-0.235636	-0.25268	-0.263566	-0.271802	-0.27737	-0.283773	-0.290163	-0.294462	-0.299858
12	2.71411	2.76816	2.71808	2.50951	2.2478	2.05505	1.93805	1.88387	1.9176	2.03474	2.20401	2.39296	2.56558	2.71849	2.89052	3.06201	3.15489	3.16118	3.09876	2.98459	2.86115	2.76434	2.70572	2.67717	2.65253	2.59795	2.51031	2.35921	2.1471	1.9371	1.76446	1.6247	1.6172	1.75164	1.75971	1.54692	1.30378	1.14154	1.07874	1.1173	1.24023	1.29582	1.13904	0.880129	0.669929	0.53871	0.484461	0.493505	0.504866	0.408391	0.228122	0.0910122	0.0239575	-0.0258102	-0.0691375	-0.0992504	-0.124755	-0.147634	-0.164836	-0.174231	-0.183128	-0.198532	-0.213549	-0.225704	-0.23493	-0.243092	-0.253061	-0.259408	-0.263194	-0.270584
13	2.4187	2.49515	2.4955	2.37952	2.23866	2.1405	2.02646	1.89822	1.85542	1.91453	2.0299	2.17476	2.32319	2.47176	2.66349	2.83626	2.86659	2.80862	2.73059	2.62723	2.52061	2.4397	2.40073	2.39335	2.40318	2.41057	2.39964	2.29261	2.07732	1.88323	1.7551	1.61481	1.55643	1.64869	1.66044	1.49503	1.31146	1.20735	1.19504	1.26262	1.38404	1.42946	1.281	1.03117	0.814405	0.689152	0.67215	0.751835	0.810202	0.648335	0.333714	0.110481	0.0170856	-0.0514877	-0.115077	-0.151175	-0.174887	-0.195121	-0.2122	-0.223678	-0.234563	-0.251899	-0.268709	-0.278436	-0.285947	-0.292008	-0.298373	-0.299592	-0.301128	-0.307241
14	2.48242	2.53123	2.52743	2.42621	2.29606	2.19957	2.11102	2.02819	2.00591	2.05785	2.15502	2.27388	2.39449	2.50963	2.64321	2.76274	2.78637	2.74429	2.68264	2.59804	2.50599	2.43287	2.38916	2.37	2.36823	2.3609	2.32992	2.22815	2.0598	1.90735	1.80222	1.69396	1.64567	1.71007	1.71688	1.58164	1.42386	1.32642	1.29742	1.32239	1.38699	1.4014	1.27108	1.05311	0.851399	0.71785	0.662525	0.675241	0.681905	0.5557	0.324425	0.142995	0.0554796	-0.00748829	-0.0667359	-0.103568	-0.13045	-0.154073	-0.170438	-0.18064	-0.191999	-0.209538	-0.224389	-0.233684	-0.240531	-0.245275	-0.250919	-0.254578	-0.254984	-0.256469
15	2.7261	2.78719	2.73858	2.52099	2.25162	2.05774	1.93646	1.87433	1.90527	2.02428	2.19649	2.39018	2.56848	2.72801	2.91398	3.09843	3.19391	3.19529	3.12655	3.00215	2.86757	2.76598	2.71066	2.68317	2.65531	2.60156	2.51356	2.35806	2.13825	1.91741	1.73515	1.58759	1.5783	1.71947	1.7273	1.50251	1.25177	1.08594	1.01924	1.06332	1.20397	1.27277	1.11301	0.846186	0.63691	0.511667	0.463843	0.489035	0.517141	0.415989	0.215101	0.063124	-0.00872551	-0.0591966	-0.105915	-0.140455	-0.16559	-0.184977	-0.198488	-0.20919	-0.220338	-0.23602	-0.251126	-0.262252	-0.272312	-0.28028	-0.289138	-0.296084	-0.301771	-0.309748
16	2.57372	2.61278	2.58381	2.44397	2.26895	2.14244	2.0568	2.00292	2.01628	2.10086	2.22649	2.36535	2.4975	2.61761	2.75158	2.88305	2.93955	2.92348	2.86351	2.7665	2.66033	2.57293	2.52016	2.49432	2.47519	2.44317	2.39008	2.27878	2.10883	1.9435	1.81375	1.70067	1.67747	1.76783	1.77319	1.6114	1.4257	1.30372	1.25288	1.26997	1.34463	1.3638	1.22062	0.988131	0.781335	0.6432	0.579006	0.583365	0.591097	0.485763	0.289751	0.137124	0.0614365	0.00710013	-0.0445171	-0.0820036	-0.109008	-0.132132	-0.151396	-0.163383	-0.176912	-0.193839	-0.207682	-0.216696	-0.224557	-0.231713	-0.240121	-0.245461	-0.249733	-0.254707
17	2.5942	2.63678	2.60551	2.45554	2.2693	2.1315	2.03773	1.98151	1.99945	2.09117	2.22095	2.36854	2.51136	2.6406	2.7882	2.92788	2.98548	2.97167	2.9117	2.8118	2.70107	2.61151	2.55667	2.52834	2.50984	2.47414	2.41269	2.29387	2.11486	1.94025	1.80451	1.6894	1.66956	1.76704	1.77741	1.60852	1.40794	1.27389	1.22207	1.24831	1.33095	1.35366	1.20594	0.964159	0.751216	0.613536	0.554008	0.561072	0.567006	0.459822	0.26437	0.115507	0.0449767	-0.00883539	-0.0592628	-0.09272	-0.118282	-0.13912	-0.156888	-0.169844	-0.179725	-0.195582	-0.212212	-0.222257	-0.229514	-0.235679	-0.242704	-0.245946	-0.249625	-0.256449
18	2.63644	2.69319	2.66035	2.48187	2.26028	2.09879	1.98481	1.90766	1.91686	2.01044	2.15258	2.31818	2.4791	2.62971	2.80403	2.97278	3.04446	3.02877	2.96163	2.85175	2.73379	2.64264	2.59231	2.57091	2.55634	2.52517	2.46466	2.32744	2.11781	1.91939	1.76429	1.6274	1.60037	1.71367	1.72172	1.52961	1.31162	1.17146	1.1201	1.16407	1.28675	1.34381	1.19833	0.951833	0.748697	0.626212	0.583169	0.609582	0.630982	0.517887	0.298832	0.132739	0.0567106	-0.000211928	-0.0530512	-0.0848419	-0.108512	-0.13132	-0.150605	-0.161025	-0.171285	-0.189922	-0.205505	-0.215723	-0.224552	-0.232856	-0.242501	-0.248389	-0.253784	-0.259747
19	2.34274	2.42058	2.42755	2.32771	2.20889	2.12796	2.01046	1.8597	1.79535	1.83449	1.9336	2.06854	2.21445	2.36751	2.56352	2.733	2.754	2.68837	2.60953	2.51274	2.41258	2.33988	2.30647	2.30229	2.31779	2.34121	2.34815	2.24693	2.02738	1.8326	1.71109	1.56986	1.5004	1.58012	1.5853	1.42878	1.26006	1.16761	1.16012	1.23346	1.36209	1.41163	1.27286	1.03946	0.841576	0.732161	0.731589	0.838222	0.917685	0.742823	0.391351	0.142286	0.0406216	-0.0328021	-0.101142	-0.143094	-0.171171	-0.194446	-0.212384	-0.225267	-0.241445	-0.259643	-0.273938	-0.283787	-0.292519	-0.300893	-0.309454	-0.315051	-0.320607	-0.324362
20	2.5363	2.61189	2.58979	2.42521	2.22217	2.08623	1.97052	1.85313	1.82708	1.90409	2.04031	2.20482	2.36738	2.52612	2.70978	2.88738	2.96232	2.94169	2.87227	2.75962	2.64047	2.55454	2.51227	2.486	2.47644	2.47973	2.45142	2.3226	2.09171	1.87289	1.71344	1.56893	1.52627	1.63638	1.62077	1.42426	1.22602	1.09782	1.05154	1.11408	1.26649	1.33627	1.17373	0.914622	0.720406	0.612836	0.60427	0.690508	0.771251	0.629493	0.32344	0.101171	0.00980555	-0.045391	-0.110821	-0.15418	-0.172129	-0.183042	-0.197955	-0.230944	-0.270664	-0.274871	-0.267877	-0.274687	-0.282702	-0.297703	-0.305553	-0.324229	-0.342721	-0.335791
